iter	Passed	Remaining
1190	19338	29372
1191	19353	29354
1192	19368	29337
1193	19384	29319
1194	19398	29299
1195	19412	29280
1196	19428	29265
1197	19444	29247
1198	19458	29228
1199	19474	29211
1200	19489	29193
1201	19503	29174
1202	19519	29157
1203	19537	29143
1204	19554	29128
1205	19572	29114
1206	19588	29099
1207	19602	29079
1208	19618	29062
1209	19634	29046
1210	19651	29031
1211	19668	29015
1212	19685	29001
1213	19710	28997
1214	19726	28981
1215	19742	28964
1216	19759	28949
1217	19775	28932
1218	19791	28916
1219	19806	28898
1220	19824	28884
1221	19842	28871
1222	19860	28857
1223	19876	28840
1224	19891	28821
1225	19907	28806
1226	19923	28788
1227	19942	28776
1228	19957	28759
1229	19973	28741
1230	19988	28723
1231	20002	28705
1232	20018	28688
1233	20033	28670
1234	20048	28652
1235	20064	28635
1236	20081	28620
1237	20098	28605
1238	20114	28589
1239	20130	28572
1240	20144	28553
1241	20163	28540
1242	20179	28524
1243	20196	28509
1244	20212	28491
1245	20227	28474
1246	20241	28455
1247	20255	28435
1248	20270	28417
1249	20284	28398
1250	20300	28382
1251	20316	28364
1252	20332	28348
1253	20348	28332
1254	20365	28317
1255	20383	28303
1256	20398	28285
1257	20413	28267
1258	20428	28249
1259	20443	28230
1260	20460	28215
1261	20479	28203
1262	20494	28186
1263	20512	28172
1264	20528	28155
1265	20542	28136
1266	20560	28122
1267	20580	28111
1268	20596	28095
1269	20610	28076
1270	20625	28058
1271	20644	28045
1272	20659	28027
1273	20676	28012
1274	20692	27996
1275	20711	27982
1276	20727	27966
1277	20744	27951
1278	20760	27935
1279	20778	27921
1280	20794	27904
1281	20810	27887
1282	20826	27871
1283	20843	27856
1284	20857	27837
1285	20876	27824
1286	20892	27807
1287	20909	27792
1288	20925	27775
1289	20942	27760
1290	20957	27742
1291	20974	27727
1292	20989	27709
1293	21004	27692
1294	21019	27674
1295	21035	27657
1296	21052	27642
1297	21070	27628
1298	21088	27614
1299	21104	27597
1300	21124	27586
1301	21143	27574
1302	21159	27557
1303	21175	27540
1304	21190	27523
1305	21207	27507
1306	21224	27493
1307	21239	27474
1308	21253	27456
1309	21269	27439
1310	21286	27423
1311	21302	27407
1312	21319	27392
1313	21337	27377
1314	21352	27360
1315	21368	27344
1316	21385	27328
1317	21401	27312
1318	21417	27295
1319	21433	27278
1320	21450	27263
1321	21465	27245
1322	21482	27230
1323	21499	27215
1324	21515	27198
1325	21530	27181
1326	21545	27162
1327	21561	27146
1328	21576	27128
1329	21593	27113
1330	21611	27099
1331	21628	27083
1332	21648	27072
1333	21665	27057
1334	21683	27043
1335	21700	27028
1336	21717	27012
1337	21732	26995
1338	21750	26980
1339	21765	26963
1340	21780	26945
1341	21796	26929
1342	21813	26913
1343	21828	26895
1344	21845	26880
1345	21864	26867
1346	21879	26849
1347	21898	26837
1348	21916	26822
1349	21934	26809
1350	21954	26796
1351	21967	26776
1352	21984	26761
1353	22000	26744
1354	22018	26730
1355	22034	26714
1356	22048	26694
1357	22063	26677
1358	22079	26661
1359	22096	26646
1360	22112	26629
1361	22126	26609
1362	22142	26593
1363	22157	26576
1364	22175	26561
1365	22191	26545
1366	22206	26527
1367	22221	26510
1368	22237	26493
1369	22253	26476
1370	22269	26460
1371	22284	26442
1372	22299	26425
1373	22314	26407
1374	22329	26389
1375	22345	26372
1376	22362	26357
1377	22377	26339
1378	22392	26322
1379	22407	26304
1380	22421	26286
1381	22435	26267
1382	22450	26248
1383	22466	26232
1384	22481	26214
1385	22496	26197
1386	22510	26178
1387	22527	26162
1388	22541	26144
1389	22556	26126
1390	22571	26109
1391	22588	26093
1392	22603	26075
1393	22617	26057
1394	22632	26039
1395	22672	26050
1396	22695	26042
1397	22712	26026
1398	22726	26007
1399	22742	25991
1400	22755	25971
1401	22770	25954
1402	22786	25937
1403	22800	25918
1404	22814	25899
1405	22829	25882
1406	22846	25866
1407	22864	25852
1408	22879	25834
1409	22896	25818
1410	22910	25800
1411	22925	25783
1412	22942	25767
1413	22959	25751
1414	22974	25734
1415	22990	25718
1416	23006	25701
1417	23020	25683
1418	23036	25666
1419	23051	25648
1420	23066	25631
1421	23084	25617
1422	23101	25601
1423	23115	25583
1424	23131	25566
1425	23148	25550
1426	23165	25535
1427	23197	25536
1428	23219	25526
1429	23235	25510
1430	23252	25494
1431	23267	25477
1432	23281	25459
1433	23297	25442
1434	23314	25426
1435	23328	25408
1436	23343	25390
1437	23359	25374
1438	23374	25356
1439	23391	25340
1440	23405	25322
1441	23421	25305
1442	23438	25290
1443	23452	25271
1444	23468	25254
1445	23485	25239
1446	23500	25222
1447	23517	25206
1448	23535	25192
1449	23552	25177
1450	23568	25160
1451	23585	25144
1452	23601	25128
1453	23618	25112
1454	23634	25095
1455	23651	25081
1456	23671	25068
1457	23687	25052
1458	23704	25036
1459	23720	25020
1460	23735	25002
1461	23751	24986
1462	23768	24970
1463	23784	24954
1464	23800	24937
1465	23818	24922
1466	23835	24907
1467	23850	24890
1468	23867	24874
1469	23883	24858
1470	23898	24840
1471	23914	24824
1472	23930	24807
1473	23947	24791
1474	23962	24774
1475	23979	24759
1476	23996	24744
1477	24015	24730
1478	24031	24714
1479	24048	24698
1480	24062	24679
1481	24079	24664
1482	24096	24649
1483	24113	24633
1484	24127	24615
1485	24144	24599
1486	24159	24581
1487	24175	24564
1488	24191	24549
1489	24208	24533
1490	24223	24515
1491	24238	24498
1492	24253	24480
1493	24268	24462
1494	24286	24448
1495	24301	24431
1496	24315	24413
1497	24332	24397
1498	24347	24379
1499	24363	24363
1500	24381	24348
1501	24398	24333
1502	24418	24321
1503	24435	24305
1504	24454	24291
1505	24470	24275
1506	24486	24258
1507	24500	24240
1508	24517	24225
1509	24535	24210
1510	24549	24191
1511	24565	24175
1512	24579	24157
1513	24596	24141
1514	24611	24124
1515	24629	24109
1516	24645	24093
1517	24661	24076
1518	24677	24060
1519	24694	24044
1520	24710	24028
1521	24724	24009
1522	24737	23990
1523	24753	23973
1524	24770	23958
1525	24787	23942
1526	24807	23930
1527	24824	23915
1528	24839	23897
1529	24858	23883
1530	24874	23867
1531	24891	23851
1532	24908	23836
1533	24926	23821
1534	24942	23805
1535	24959	23789
1536	24974	23772
1537	24990	23755
1538	25005	23738
1539	25022	23722
1540	25042	23709
1541	25058	23693
1542	25074	23676
1543	25088	23658
1544	25107	23644
1545	25124	23629
1546	25141	23613
1547	25157	23597
1548	25175	23582
1549	25191	23566
1550	25206	23548
1551	25223	23533
1552	25240	23517
1553	25257	23502
1554	25278	23489
1555	25295	23474
1556	25312	23459
1557	25328	23442
1558	25344	23426
1559	25358	23408
1560	25374	23391
1561	25389	23373
1562	25407	23359
1563	25426	23345
1564	25443	23329
1565	25459	23313
1566	25474	23296
1567	25490	23279
1568	25505	23262
1569	25522	23246
1570	25539	23230
1571	25553	23212
1572	25568	23195
1573	25583	23178
1574	25600	23162
1575	25616	23145
1576	25634	23131
1577	25650	23115
1578	25667	23099
1579	25683	23082
1580	25699	23066
1581	25715	23049
1582	25731	23033
1583	25749	23018
1584	25764	23000
1585	25781	22985
1586	25797	22968
1587	25813	22952
1588	25829	22936
1589	25845	22919
1590	25859	22901
1591	25875	22884
1592	25890	22867
1593	25907	22852
1594	25924	22836
1595	25939	22818
1596	25955	22802
1597	25971	22785
1598	25987	22769
1599	26003	22753
1600	26019	22736
1601	26036	22721
1602	26053	22705
1603	26067	22687
1604	26083	22670
1605	26098	22653
1606	26112	22635
1607	26128	22618
1608	26144	22602
1609	26160	22585
1610	26175	22568
1611	26190	22551
1612	26206	22534
1613	26221	22517
1614	26238	22501
1615	26253	22484
1616	26270	22468
1617	26287	22453
1618	26302	22436
1619	26317	22418
1620	26332	22401
1621	26347	22383
1622	26363	22367
1623	26381	22352
1624	26397	22336
1625	26414	22320
1626	26431	22305
1627	26447	22288
1628	26464	22273
1629	26480	22256
1630	26494	22238
1631	26511	22222
1632	26529	22208
1633	26546	22192
1634	26561	22175
1635	26577	22158
1636	26592	22141
1637	26607	22124
1638	26621	22105
1639	26638	22090
1640	26654	22073
1641	26670	22057
1642	26686	22041
1643	26701	22023
1644	26717	22007
1645	26734	21992
1646	26750	21975
1647	26766	21958
1648	26782	21942
1649	26799	21927
1650	26814	21909
1651	26830	21892
1652	26845	21875
1653	26863	21860
1654	26880	21845
1655	26898	21830
1656	26918	21817
1657	26932	21799
1658	26950	21784
1659	26968	21769
1660	26983	21752
1661	27000	21736
1662	27016	21720
1663	27032	21703
1664	27050	21688
1665	27064	21670
1666	27080	21655
1667	27096	21638
1668	27112	21621
